file,fname,arg_types,ret_type
'stats::gaussian','paste0',"'character','double','character'",'character',
'stats::gaussian','list',"'function','function','function','function','character'",'list',
'stats::gaussian','==',"'integer','double'",'logical',
'stats::gaussian','list',"'v<integer>','v<double>'",'list',
'stats::gaussian','glm',"'formula','function'",'list',
'stats::gaussian','glm',"'formula','list','v<double>'",'list',
'stats::ls.diag','as.numeric',"'integer'",'v<double>',
'stats::ls.diag','<',"'double','double'",'logical',
'stats::ls.diag','plot',"'v<double>','v<double>','v<double>'",'NULL',
'stats::mahalanobis','==',"'v<double>','v<double>'",'v<logical>',
'stats::mahalanobis','plot',"'list','character'",'NULL',
'stats::rmultinom','c',"'double','double','double'",'v<double>',
'stats::rmultinom','<=',"'v<double>','double'",'v<logical>',
'stats::rmultinom',':',"'double','double'",'integer',
'stats::rmultinom','-',"'integer','v<double>'",'v<double>',
'stats::rmultinom','list',"'v<character>','NULL'",'list',
'stats::dpois','+',"'double','v<integer>'",'v<double>',
'stats::dpois','-',"'v<double>'",'v<double>',
'stats::dpois','max',"'v<integer>'",'integer',
'stats::dpois',':',"'double','integer'",'v<integer>',
'stats::dpois','factor',"'v<integer>','v<integer>'",'integer',
'stats::dpois','table',"'integer'",'integer',
'stats::dpois','*',"'double','v<integer>'",'v<double>',
'stats::dpois','-',"'double','v<double>'",'v<double>',
'stats::dpois','plot',"'v<double>','v<double>','character','character','character'",'NULL',
'stats::dpois','identical',"'double','double'",'logical',
'stats::numericDeriv','str',"'double'",'NULL',
'stats::numericDeriv','c',"'double'",'v<double>',
'stats::makepredictcall','plot',"'list','character','character'",'NULL',
'stats::makepredictcall','data.frame',"'v<double>'",'list',
'stats::makepredictcall','predict',"'list','list'",'v<double>',
'stats::qlogis','var',"'v<double>'",'double',
'stats::nlm','-',"'v<double>','v<integer>'",'v<double>',
'stats::nlm','c',"'double'",'double',
'stats::nlm','length',"'double'",'integer',
'stats::nlm',':',"'double','integer'",'integer',
'stats::nlm','-',"'double','integer'",'double',
'stats::nlm','sum',"'double'",'double',
'stats::nextn','table',"'v<integer>'",'integer',
'stats::nextn','-',"'v<integer>','v<integer>'",'v<integer>',
'stats::nextn','plot',"'v<integer>','v<integer>','character','double','double'",'NULL',
'stats::nls','list',"'v<double>','v<double>'",'list',
'stats::nls','list',"'double','double'",'list',
'stats::nls','list',"'double','double','double'",'list',
'stats::nls','==',"'integer','character'",'v<logical>',
'stats::nls','list',"'double','v<double>','v<double>'",'list',
'stats::nls','+',"'v<double>','double'",'v<double>',
'stats::nls','list',"'v<double>','v<integer>'",'list',
'stats::nls','list',"'double','logical'",'list',
'stats::nls','-',"'v<integer>'",'v<integer>',
'stats::nls','/',"'v<integer>','double'",'v<double>',
'stats::nls','predict',"'list'",'v<double>',
'stats::plot.stepfun','paste',"'character','v<double>'",'v<character>',
'stats::dummy.coef','list',"'v<double>','integer'",'list',
'stats::dummy.coef','list',"'v<double>','integer','integer','integer'",'list',
'stats::ftable','dim',"'double'",'v<integer>',
'stats::ftable','==',"'v<integer>','v<double>'",'v<logical>',
'stats::ftable','c',"'character','character','character','character'",'v<character>',
'stats::as.formula','class',"'formula'",'character',
'stats::as.formula','typeof',"'formula'",'character',
'stats::as.formula','paste0',"'character','v<integer>'",'v<character>',
'stats::as.formula','paste',"'v<character>','character'",'character',
'stats::as.formula','paste',"'character','character'",'character',
'stats::pairwise.wilcox.test','factor',"'v<integer>','v<character>'",'integer',
'stats::time','as.vector',"'double'",'v<double>',
'stats::mantelhaen.test','c',"'double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::mantelhaen.test','c',"'character','character','character','character','character'",'v<character>',
'stats::mantelhaen.test','list',"'v<character>','v<character>','v<character>'",'list',
'stats::mantelhaen.test','array',"'v<double>','v<double>','list'",'double',
'stats::mantelhaen.test','apply',"'double','double','function'",'v<double>',
'stats::mantelhaen.test','-',"'v<double>','double'",'v<double>',
'stats::mantelhaen.test','c',"'double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::mantelhaen.test','as.table',"'double'",'double',
'stats::dwilcox','plot',"'v<integer>','v<double>','character','character','character'",'NULL',
'stats::dwilcox','-',"'v<integer>','double'",'v<double>',
'stats::dwilcox','paste',"'character','double'",'character',
'stats::dwilcox','paste',"'character','character','character'",'character',
'stats::dwilcox','print',"'integer'",'integer',
'stats::dwilcox','names',"'integer'",'v<character>',
'stats::dwilcox','as.numeric',"'v<character>'",'v<double>',
'stats::ar','predict',"'list','double'",'list',
'stats::oneway.test','anova',"'list'",'list',
'stats::fligner.test','plot',"'formula','list'",'NULL',
'stats::bw.bcv','plot',"'list'",'NULL',
'stats::bw.bcv','c',"'character','character','character','character','character','character'",'v<character>',
'stats::predict.glm','rep',"'v<integer>','double'",'v<integer>',
'stats::predict.glm','c',"'double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::predict.glm','rep',"'v<character>','v<double>'",'v<character>',
'stats::predict.glm','factor',"'v<character>'",'integer',
'stats::predict.glm','plot',"'v<double>','v<double>','character','character','character','character'",'NULL',
'stats::predict.glm','as.character',"'integer'",'v<character>',
'stats::predict.glm','rep',"'character','integer'",'v<character>',
'stats::predict.glm','factor',"'v<character>','v<character>'",'integer',
'stats::predict.glm','data.frame',"'v<double>','integer'",'list',
'stats::predict.glm','list',"'integer','v<double>'",'list',
'stats::predict.glm','predict',"'list','list','character'",'v<double>',
'stats::rWishart','mean',"'v<double>'",'double',
'stats::logLik','list',"'v<integer>'",'list',
'stats::logLik','lm',"'formula'",'list',
'stats::logLik','list',"'v<double>','v<double>','v<double>','v<double>','v<double>','v<double>','v<double>'",'list',
'stats::logLik','list',"'v<double>','integer','v<double>'",'list',
'stats::AIC','list',"'v<double>','v<double>','v<integer>','v<integer>','v<double>','v<double>'",'list',
'stats::arima','list',"'v<double>'",'list',
'stats::arima','c',"'logical','logical','double','double','double'",'v<double>',
'stats::plot.ts','plot',"'double','double','character'",'NULL',
'stats::plot.ts','plot',"'double','double','character','character','character','logical'",'NULL',
'stats::model.extract','identical',"'v<double>','v<double>'",'logical',
'stats::model.extract','names',"'list'",'v<character>',
'stats::stat.anova','print',"'list'",'list',
'stats::qbeta','==',"'double','double'",'logical',
'stats::factanal','c',"'double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::factanal','list',"'v<double>','v<double>','v<double>','v<double>','v<double>','v<double>'",'list',
'stats::summary.aov','list',"'list','list'",'list',
'stats::summary.aov','summary',"'list','list'",'list',
'stats::summary.aov','list',"'double','v<integer>'",'list',
'stats::summary.aov','list',"'list'",'list',
'stats::summary.aov','summary',"'list','list','logical'",'list',
'stats::optimHess','plot',"'function','double','double','double','character'",'list',
'stats::optimHess','c',"'v<integer>','double'",'v<double>',
'stats::optimHess','plot',"'v<double>','v<double>','character','double','character','character','character','logical'",'NULL',
'stats::optimHess','+',"'v<integer>','double'",'v<double>',
'stats::optimHess','list',"'double','double','logical','double'",'list',
'stats::optimHess','seq',"'double','double'",'v<integer>',
'stats::optimHess','sample',"'v<integer>','double','logical'",'v<integer>',
'stats::optimHess','list',"'logical'",'list',
'stats::cooks.distance','which',"'v<logical>'",'v<integer>',
'stats::cooks.distance','plot',"'formula'",'NULL',
'stats::cooks.distance','plot',"'list','double'",'NULL',
'stats::cooks.distance','cat',"'character'",'NULL',
'stats::cooks.distance','vapply',"'v<integer>','function','double'",'v<double>',
'stats::cooks.distance','c',"'double','double','double','double','double','double'",'v<double>',
'stats::dnorm','plot',"'function','double','double','character'",'list',
'stats::C','attributes',"'integer'",'list',
'stats::D','c',"'integer','integer'",'v<integer>',
'stats::D','c',"'character'",'character',
'stats::D','list',"'NULL','character'",'list',
'stats::D','list',"'NULL','v<character>'",'list',
'stats::D','*',"'v<double>','double'",'v<double>',
'stats::D','c',"'character','character','character'",'v<character>',
'stats::D','identical',"'call','call'",'logical',
'stats::lowess','paste',"'character','v<character>'",'v<character>',
'stats::lowess','c',"'v<character>'",'v<character>',
'stats::optimize','print',"'double'",'double',
'stats::optimize','>',"'v<double>','double'",'v<logical>',
'stats::optimize','<',"'v<double>','double'",'v<logical>',
'stats::optimize','ifelse',"'v<logical>','v<double>','double'",'v<double>',
'stats::optimize','plot',"'function','double','double','v<integer>','double'",'list',
'stats::optimize','>',"'double','double'",'logical',
'stats::optimize','ifelse',"'logical','double','double'",'double',
'stats::lag.plot','c',"'v<integer>','v<integer>'",'v<integer>',
'stats::splinefunH','paste',"'character','double','character'",'character',
'stats::splinefunH','plot',"'v<integer>','v<double>','character'",'NULL',
'stats::splinefunH','findInterval',"'v<double>','v<double>'",'v<integer>',
'stats::splinefunH','table',"'v<double>'",'integer',
'stats::splinefunH','>',"'integer','double'",'logical',
'stats::splinefunH','match',"'v<double>','v<double>'",'v<integer>',
'stats::splinefunH','range',"'v<double>'",'v<double>',
'stats::splinefunH','tapply',"'v<double>','v<integer>','function','logical'",'list',
'stats::splinefunH','sort',"'v<double>'",'v<double>',
'stats::splinefunH','==',"'v<double>','double'",'v<logical>',
'stats::splinefunH','list',"'character','function'",'list',
'stats::splinefunH','mean',"'double'",'double',
'stats::splinefunH','plot',"'v<double>','v<double>'",'NULL',
'stats::splinefunH','paste0',"'character','v<character>','character'",'v<character>',
'stats::splinefunH','plot',"'v<double>','v<double>','character','double','double','character'",'NULL',
'stats::df','c',"'v<double>','double','v<integer>'",'v<double>',
'stats::glm.control','glm',"'formula','list','logical','double'",'list',
'stats::pgamma','table',"'v<logical>'",'integer',
'stats::addmargins','sample',"'v<character>','double','logical'",'v<character>',
'stats::addmargins','table',"'v<character>','v<character>','v<character>'",'integer',
'stats::addmargins','list',"'function','function'",'list',
'stats::addmargins','list',"'list','function'",'list',
'stats::addmargins','min',"'v<integer>'",'integer',
'stats::addmargins','list',"'function','list'",'list',
'stats::addmargins','sum',"'v<integer>'",'integer',
'stats::addmargins','min',"'v<double>'",'double',
'stats::addmargins','max',"'v<double>'",'double',
'stats::addmargins','table',"'v<character>','v<character>'",'integer',
'stats::addmargins','apply',"'integer','double','function'",'v<integer>',
'stats::addmargins','list',"'function'",'list',
'stats::addmargins','table',"'v<integer>','v<integer>'",'integer',
'stats::dexp','plot',"'v<double>','v<integer>','character'",'NULL',
'stats::ave','mean',"'v<double>','double'",'double',
'stats::ave','plot',"'v<double>','character'",'NULL',
'stats::ave','median',"'v<double>'",'double',
'stats::loess.smooth','list',"'character','double','double'",'list',
'stats::line','plot',"'formula','character'",'NULL',
'stats::line','c',"'v<double>','double','double','double'",'v<double>',
'stats::line','data.frame',"'v<double>','v<double>'",'list',
'stats::qqline','c',"'double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::qqline','list',"'character','logical'",'list',
'stats::qqline','list',"'logical','character'",'list',
'stats::get_all_vars','is.data.frame',"'list'",'logical',
'stats::get_all_vars','identical',"'list','list'",'logical',
'stats::get_all_vars','ncol',"'list'",'integer',
'stats::get_all_vars','+',"'integer','double'",'double',
'stats::dt','c',"'v<integer>','double','double','double','double'",'v<double>',
'stats::dt','plot',"'function','double','double','v<double>','character','character'",'list',
'stats::dt','+',"'v<integer>','v<double>'",'v<double>',
'stats::dt','/',"'v<integer>','v<double>'",'v<double>',
'stats::ks.test','c',"'v<double>','v<double>'",'v<double>',
'stats::ks.test','t.test',"'v<double>','v<double>','character'",'list',
'stats::ks.test','wilcox.test',"'v<double>','v<double>','character'",'list',
'stats::ks.test','c',"'double','double','double','double','double','double','double'",'v<double>',
'stats::ks.test','list',"'v<integer>','v<integer>'",'list',
'stats::ks.test','%in%',"'v<integer>','v<double>'",'v<logical>',
'stats::cor','var',"'v<integer>'",'double',
'stats::cor','var',"'v<integer>','v<integer>'",'double',
'stats::cor','cor',"'v<integer>','v<integer>'",'double',
'stats::cor','colnames',"'list'",'v<character>',
'stats::ecdf','quantile',"'v<double>'",'v<double>',
'stats::ecdf','unique',"'v<double>'",'v<double>',
'stats::ecdf','plot',"'v<double>','v<double>','character','double'",'NULL',
'stats::dendrapply','attributes',"'list'",'list',
'stats::dendrapply','list',"'character','double'",'list',
'stats::dendrapply','c',"'NULL','list'",'list',
'stats::rsignrank','c',"'v<integer>','double','double'",'v<double>',
'stats::rsignrank','plot',"'v<double>','v<double>','character','character'",'NULL',
'stats::rsignrank','c',"'double','double','double','double','v<integer>','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::rsignrank','rev',"'v<double>'",'v<double>',
'stats::rsignrank','c',"'v<double>','v<double>','double'",'v<double>',
'stats::rsignrank','c',"'v<integer>','v<integer>','v<integer>'",'v<integer>',
'stats::rsignrank','==',"'v<double>','v<integer>'",'v<logical>',
'stats::as.dist','==',"'double','double'",'v<logical>',
'stats::SSweibull','plot',"'formula','list','v<double>','character'",'NULL',
'stats::SSweibull','c',"'list','v<double>'",'list',
'stats::mvfft','length',"'v<integer>'",'integer',
'stats::mvfft','/',"'v<complex>','integer'",'v<complex>',
'stats::mvfft','length',"'v<complex>'",'integer',
'stats::mvfft','*',"'double','complex'",'complex',
'stats::mvfft','*',"'complex','v<integer>'",'v<complex>',
'stats::mvfft','*',"'v<complex>','double'",'v<complex>',
'stats::mvfft','*',"'v<complex>','v<complex>'",'v<complex>',
'stats::mvfft','sum',"'v<complex>'",'complex',
'stats::mvfft','vapply',"'v<integer>','function','complex'",'v<complex>',
'stats::mvfft','-',"'v<complex>','v<complex>'",'v<complex>',
'stats::mvfft','+',"'v<complex>','v<complex>'",'v<complex>',
'stats::.checkMFClasses','sapply',"'list','function'",'v<character>',
'stats::.checkMFClasses','identical',"'v<character>','v<character>'",'logical',
'stats::.checkMFClasses','is.null',"'NULL'",'logical',
'stats::effects','list',"'v<double>','double'",'list',
'stats::reorder','names',"'double'",'v<character>',
'stats::reorder','order',"'double'",'v<integer>',
'stats::reorder','rev',"'v<integer>'",'v<integer>',
'stats::eff.aovlist','factor',"'v<double>'",'integer',
'stats::eff.aovlist','data.frame',"'integer','integer','integer','integer','v<double>'",'list',
'stats::glm.fit','*',"'double','integer'",'double',
'stats::glm.fit','list',"'v<double>','v<double>','integer','v<double>'",'list',
'stats::glm.fit','glm',"'formula','function','list'",'list',
'stats::glm.fit','data.frame',"'v<double>','v<double>','v<double>'",'list',
'stats::glm.fit','glm',"'formula','list','function'",'list',
'stats::glm.fit','list',"'v<double>','v<double>','v<double>'",'list',
'stats::setNames','setNames',"'v<integer>','v<character>'",'v<integer>',
'stats::setNames','setNames',"'v<character>'",'v<character>',
'stats::model.matrix','data.frame',"'integer','integer'",'list',
'stats::model.matrix','list',"'integer','integer'",'list',
'stats::model.matrix','list',"'character'",'list',
'stats::.nknots.smspl','plot',"'formula','list','character'",'NULL',
'stats::.nknots.smspl','==',"'v<double>','integer'",'logical',
'stats::.nknots.smspl','c',"'v<integer>','v<double>'",'v<double>',
'stats::.nknots.smspl','c',"'v<integer>','v<double>','v<double>'",'v<double>',
'stats::.nknots.smspl','c',"'v<integer>','double','double','v<integer>','v<double>','v<double>'",'v<double>',
'stats::.nknots.smspl','seq',"'double','integer','double'",'v<double>',
'stats::.nknots.smspl','plot',"'v<double>','character','double'",'NULL',
'stats::.nknots.smspl','predict',"'list','v<double>'",'list',
'stats::.nknots.smspl','as.numeric',"'v<integer>'",'v<double>',
'stats::.nknots.smspl','list',"'logical','double','double'",'list',
'stats::SSasymp','plot',"'v<double>','v<double>','character','logical','v<double>','v<double>','character','character','double','call'",'NULL',
'stats::predict','cat',"'character','character','v<character>','character'",'NULL',
'stats::t.test','c',"'v<integer>'",'v<integer>',
'stats::t.test','t.test',"'v<integer>','v<integer>'",'list',
'stats::t.test','t.test',"'v<integer>','v<double>'",'list',
'stats::t.test','t.test',"'v<double>','v<double>'",'list',
'stats::t.test','t.test',"'formula','list'",'list',
'stats::t.test','t.test',"'v<double>'",'list',
'stats::t.test','reshape',"'list','character','character','character'",'list',
'stats::t.test','t.test',"'v<double>','v<double>','logical'",'list',
'stats::cophenetic','cor',"'double','double'",'double',
'stats::cophenetic','c',"'double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::spec.pgram','plot',"'list','character'",'list',
'stats::interaction.plot','tapply',"'v<double>','v<double>','function'",'double',
'stats::interaction.plot','factor',"'v<double>','v<integer>'",'integer',
'stats::estVar','c',"'double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::estVar','list',"'v<integer>','v<character>'",'list',
'stats::quantile','c',"'double','double','double','double','double','double','double','logical'",'v<double>',
'stats::quantile','quantile',"'v<double>','v<double>'",'v<double>',
'stats::quantile','quantile',"'v<double>','v<double>','double'",'v<double>',
'stats::quantile','quantile',"'v<double>','v<double>','integer'",'v<double>',
'stats::quantile','quantile',"'v<double>','v<integer>','double'",'v<double>',
'stats::quantile','quantile',"'v<double>','v<integer>','integer'",'v<double>',
'stats::quantile','quantile',"'v<complex>','v<double>','double'",'v<complex>',
'stats::quantile','quantile',"'v<complex>','v<double>','integer'",'v<complex>',
'stats::wilcox.test','wilcox.test',"'v<double>','v<double>','logical','character'",'list',
'stats::wilcox.test','wilcox.test',"'v<double>','character'",'list',
'stats::wilcox.test','wilcox.test',"'v<double>','character','logical','logical'",'list',
'stats::wilcox.test','wilcox.test',"'formula','list'",'list',
'stats::wilcox.test','wilcox.test',"'v<double>','v<double>','character','logical','logical'",'list',
'stats::wilcox.test','wilcox.test',"'v<double>','v<double>','logical'",'list',
'stats::wilcox.test','%in%',"'integer','v<double>'",'v<logical>',
'stats::complete.cases','is.na',"'v<integer>'",'v<logical>',
'stats::approx','plot',"'function','double','double','character','logical','double','double'",'list',
'stats::approx','c',"'double','logical','v<integer>'",'v<double>',
'stats::approx','data.frame',"'list'",'list',
'stats::approx','list',"'double','double','v<integer>','v<integer>'",'list',
'stats::approx','c',"'logical','logical'",'v<logical>',
'stats::approx','sapply',"'v<character>','function','character'",'double',
'stats::approx','sapply',"'list','function','character'",'double',
'stats::approx','dimnames',"'double'",'list',
'stats::approx','is.na',"'double'",'logical',
'stats::approx','c',"'logical','double','double','double','double','double','double','double','logical','logical','double','double','logical','logical','double','double','double','logical','logical','double','double','double','double','double','double','double','logical','logical','double','logical','logical','logical','double','double','double','logical','double','double','double','double','double','double','double','double','double','double','double','double','logical','logical','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','logical','logical','logical','double','double','double','double','logical','double','double','double','double','double','double','double','double','logical','double','double','logical','logical','double','double','double','double','logical','double','double','double','double','double','double','double','double','logical','double','logical','logical','logical','double','double','double','double','double','double','double','double','double','double','double','double','logical','double','double','double','logical','logical','double','double','double','logical','double','double','double','double','double','double','double','double','logical','double','double','logical','logical','logical','double','double','double','logical'",'v<double>',
'stats::approx','c',"'integer','integer','integer','integer'",'v<integer>',
'stats::approx','array',"'v<double>','v<integer>'",'double',
'stats::approx','as.vector',"'v<double>'",'v<double>',
'stats::approx','c',"'double','v<integer>','double','double','double','double','double','double','double'",'v<double>',
'stats::approx','c',"'double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::approx','min',"'double'",'double',
'stats::approx','max',"'double'",'double',
'stats::SSfpl','print',"'v<double>','double'",'v<double>',
'stats::SSfpl','plot',"'v<double>','v<double>','character','logical','v<double>','v<double>','character','character','double','character'",'NULL',
'stats::proj','c',"'double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::princomp','list',"'v<double>','v<integer>','v<integer>','v<double>'",'list',
'stats::princomp','list',"'v<double>','v<integer>','v<integer>'",'list',
'stats::aggregate.data.frame','list',"'integer'",'list',
'stats::aggregate.data.frame','list',"'integer','v<logical>'",'list',
'stats::aggregate.data.frame','c',"'double','double','double','double','double','double','double','logical','double','double','double','double'",'v<double>',
'stats::aggregate.data.frame','c',"'character','character','double','double','logical','character','double','double','character','double','logical','double'",'v<character>',
'stats::aggregate.data.frame','c',"'character','character','double','double','logical','character','double','double','character','double','logical','logical'",'v<character>',
'stats::aggregate.data.frame','aggregate',"'list','list','character'",'list',
'stats::aggregate.data.frame','factor',"'v<character>','character'",'integer',
'stats::aggregate.data.frame','aggregate',"'formula','list','function'",'list',
'stats::aggregate.data.frame','mean',"'v<integer>'",'double',
'stats::aggregate.data.frame','mean',"'v<integer>','logical'",'double',
'stats::aggregate.data.frame','aggregate',"'formula','list','function','function','logical'",'list',
'stats::aggregate.data.frame','aggregate',"'list','formula','function'",'list',
'stats::aggregate.data.frame','aggregate',"'double','double','function'",'double',
'stats::aggregate.data.frame','aggregate',"'double','double','function','v<double>'",'double',
'stats::lm.influence','summary',"'list','logical'",'list',
'stats::convolve','c',"'double','integer'",'v<double>',
'stats::median.default','median',"'v<integer>'",'double',
'stats::poly','c',"'double','v<integer>'",'v<double>',
'stats::write.ftable','cat',"'character','character','character','character','character','character','character'",'NULL',
'stats::write.ftable','cat',"'character','character','character','character','character'",'NULL',
'stats::write.ftable','list',"'v<character>'",'list',
'stats::write.ftable','print',"'double','character'",'double',
'stats::write.ftable','==',"'v<integer>','v<integer>'",'v<logical>',
'stats::friedman.test','c',"'double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::friedman.test','aggregate',"'v<double>','list','function'",'list',
'stats::cmdscale','plot',"'v<double>','v<double>','character','character','character','double','logical','character'",'NULL',
'stats::symnum','setNames',"'v<integer>','v<integer>'",'v<integer>',
'stats::symnum','rep',"'character','double'",'v<character>',
'stats::smooth','c',"'double','double','v<integer>'",'v<double>',
'stats::smooth','c',"'v<integer>','double','double','double','double','double'",'v<double>',
'stats::smooth','is.na',"'double'",'v<logical>',
'stats::smooth','plot',"'double','character'",'NULL',
'stats::ppr','list',"'v<double>','v<double>','v<double>','v<double>'",'list',
'stats::lm','lm',"'formula','character'",'list',
'stats::stl','plot',"'list','NULL','NULL','character'",'NULL',
'stats::stl','plot',"'list','NULL'",'NULL',
'stats::loess','predict',"'list','list','logical'",'list',
'stats::na.pass','c',"'double','double','logical'",'v<double>',
'stats::toeplitz','c',"'v<double>','v<double>','v<double>'",'v<double>',
'stats::toeplitz','print',"'dgCMatrix'",'dgCMatrix',
'stats::toeplitz','rep',"'double','integer'",'v<double>',
'stats::toeplitz','plot',"'v<integer>','v<double>','character','v<double>'",'NULL',
'stats::pairwise.t.test','factor',"'integer','v<character>'",'integer',
'stats::density.default','c',"'double','v<double>','double'",'v<double>',
'stats::density.default','plot',"'list','v<double>'",'NULL',
'stats::density.default','sample',"'integer','double'",'v<integer>',
'stats::density.default','/',"'integer','integer'",'double',
'stats::density.default','sample',"'v<double>','double','logical'",'v<double>',
'stats::density.default','c',"'character','character','character','character','character','character','character'",'v<character>',
'stats::density.default','length',"'v<character>'",'integer',
'stats::density.default','seq',"'v<character>'",'v<integer>',
'stats::density.default','plot',"'list','character','v<double>','character','character'",'NULL',
'stats::density.default','sapply',"'v<character>','function'",'v<double>',
'stats::medpolish','paste',"'v<integer>'",'v<character>',
'stats::SSlogis','c',"'v<double>','double','double','v<double>'",'v<double>',
'stats::SSlogis','data.frame',"'v<double>','v<integer>'",'list',
'stats::chisq.test','chisq.test',"'double'",'list',
'stats::chisq.test','chisq.test',"'v<double>'",'list',
'stats::chisq.test','as.table',"'v<double>'",'double',
'stats::chisq.test','chisq.test',"'v<double>','v<double>','logical'",'list',
'stats::chisq.test','chisq.test',"'v<double>','v<double>'",'list',
'stats::chisq.test','chisq.test',"'integer'",'list',
'stats::ppoints','plot',"'v<double>','v<double>','character','character','v<integer>','v<integer>','character','character'",'NULL',
'stats::quade.test','c',"'double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double','double'",'v<double>',
'stats::quade.test','as.character',"'v<integer>'",'v<character>',
'stats::quade.test','as.data.frame',"'double'",'list',
'stats::quade.test','order',"'v<double>'",'v<integer>',
'stats::case.names','paste',"'character','v<integer>','character'",'v<character>',
'stats::case.names','setNames',"'v<double>','v<character>'",'v<double>',
'stats::case.names','list',"'v<double>','v<integer>','double','double','double'",'list',
'stats::kmeans','cbind',"'list','v<double>'",'list',
